account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,last_observed_month_revenue,segment_company_share_pct
Never monetized,Others,business,persona_x_initial_plan,1,0.00000000000000000000,,,1.59
Healthy revenue account,Others,free,persona_x_initial_plan,1064,16555.16228113561802295239,55951.77554035904235413584,16555.16228113561802295239,92.04
Recovered / monitor,Others,free,persona_x_initial_plan,6,17.96196920328760541050,173.26013082520530705450,17.96196920328760541050,0.52
At-risk,Others,free,persona_x_initial_plan,54,0.00000000000000000000,1011.05645341706226987935,289.54648128109560513341,4.67
Churned proxy,Others,free,persona_x_initial_plan,30,0.00000000000000000000,1839.96321260165907722687,1040.47743241276813725093,2.6
Never monetized,Others,free,persona_x_initial_plan,2,0.00000000000000000000,,,0.17
Healthy revenue account,Others,plus,persona_x_initial_plan,345,23350.41686235081928182035,77804.16356729747427534222,23350.41686235081928182035,86.68
Recovered / monitor,Others,plus,persona_x_initial_plan,5,103.52279909589039341358,832.24813327005293787708,103.52279909589039341358,1.26
At-risk,Others,plus,persona_x_initial_plan,23,0.00000000000000000000,1612.56318981125214490440,343.25508971671191948735,5.78
Churned proxy,Others,plus,persona_x_initial_plan,24,0.00000000000000000000,1281.06545840523209568992,444.53470230215433328462,6.03
Never monetized,Others,plus,persona_x_initial_plan,1,0.00000000000000000000,,,0.25
Healthy revenue account,Others,start,persona_x_initial_plan,1213,40264.00643730836586235412,128716.02588034840650265137,40264.00643730836586235412,92.1
Recovered / monitor,Others,start,persona_x_initial_plan,11,170.57511719178062192800,761.63091462590462996547,170.57511719178062192800,0.84
At-risk,Others,start,persona_x_initial_plan,56,0.00000000000000000000,4433.56204699161882327608,1359.83008757095523455894,4.25
Churned proxy,Others,start,persona_x_initial_plan,36,0.00000000000000000000,1015.06139303385296396191,457.63082763467593298829,2.73
Never monetized,Others,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.08
Healthy revenue account,Professeur,business,persona_x_initial_plan,2,559.61754091123164840000,1595.51295982355874360000,559.61754091123164840000,50.0
At-risk,Professeur,business,persona_x_initial_plan,1,0.00000000000000000000,272.05282477824189493880,80.18447494849315000600,25.0
Churned proxy,Professeur,business,persona_x_initial_plan,1,0.00000000000000000000,100.48462416670468273000,100.48462416670468273000,25.0
Healthy revenue account,Professeur,free,persona_x_initial_plan,226,2771.17211076328230322623,8615.27075069723276863050,2771.17211076328230322623,90.4
Recovered / monitor,Professeur,free,persona_x_initial_plan,2,6.86304459287668094000,11.47232029150681567300,6.86304459287668094000,0.8
At-risk,Professeur,free,persona_x_initial_plan,12,0.00000000000000000000,92.37440402376367075110,14.80716328054793684290,4.8
Churned proxy,Professeur,free,persona_x_initial_plan,9,0.00000000000000000000,57.37943735593100603812,13.42192227178082517252,3.6
Never monetized,Professeur,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.4
Healthy revenue account,Professeur,plus,persona_x_initial_plan,31,2294.30111244620158060837,7011.54620394347666092667,2294.30111244620158060837,93.94
Recovered / monitor,Professeur,plus,persona_x_initial_plan,1,25.00321391561643835560,61.38650338488619606360,25.00321391561643835560,3.03
At-risk,Professeur,plus,persona_x_initial_plan,1,0.00000000000000000000,675.24660148986073357548,625.24558967232648700000,3.03
Healthy revenue account,Professeur,start,persona_x_initial_plan,246,6531.03861947007160003902,25570.09690245502891619580,6531.03861947007160003902,95.72
At-risk,Professeur,start,persona_x_initial_plan,6,0.00000000000000000000,123.48136711780817234010,76.45830860164380042530,2.33
Churned proxy,Professeur,start,persona_x_initial_plan,5,0.00000000000000000000,45.88356759806115915050,23.70489948959824266050,1.95
Churned proxy,Repair,business,persona_x_initial_plan,1,0.00000000000000000000,140.33490961278893600000,140.33490961278893600000,100.0
Healthy revenue account,Repair,free,persona_x_initial_plan,51,675.14196740547674190550,1975.31456999869857937230,675.14196740547674190550,80.95
Recovered / monitor,Repair,free,persona_x_initial_plan,1,4.00029823561643835614,4.00029823561643835614,4.00029823561643835614,1.59
At-risk,Repair,free,persona_x_initial_plan,5,0.00000000000000000000,65.01122994904099426420,34.77370694794519984600,7.94
Churned proxy,Repair,free,persona_x_initial_plan,5,0.00000000000000000000,185.71157443129010931253,10.00567132986301515253,7.94
Never monetized,Repair,free,persona_x_initial_plan,1,0.00000000000000000000,,,1.59
Healthy revenue account,Repair,plus,persona_x_initial_plan,11,425.55969222246500180810,1243.28265478395117591360,425.55969222246500180810,91.67
At-risk,Repair,plus,persona_x_initial_plan,1,0.00000000000000000000,25.09485424657534248210,25.09153534246575344100,8.33
Healthy revenue account,Repair,start,persona_x_initial_plan,41,918.08521230925850239980,3614.48289806723060454160,918.08521230925850239980,93.18
At-risk,Repair,start,persona_x_initial_plan,1,0.00000000000000000000,22.10634864438356166700,11.05441800328767124700,2.27
Churned proxy,Repair,start,persona_x_initial_plan,2,0.00000000000000000000,102.22554530293476875640,25.35705961753417768640,4.55
Healthy revenue account,Repair_Installation,business,persona_x_initial_plan,1,80.28617468493150683000,160.65011901369863012000,80.28617468493150683000,100.0
Healthy revenue account,Repair_Installation,free,persona_x_initial_plan,12,254.43122047123204981800,1347.04967670995650420570,254.43122047123204981800,100.0
Healthy revenue account,Repair_Installation,plus,persona_x_initial_plan,6,767.28030820218856420000,2149.85786518231218012900,767.28030820218856420000,100.0
Healthy revenue account,Repair_Installation,start,persona_x_initial_plan,18,866.13158243108042523400,3121.85942832258472690200,866.13158243108042523400,94.74
At-risk,Repair_Installation,start,persona_x_initial_plan,1,0.00000000000000000000,70.82263863999996320800,11.01212328767123287800,5.26
Healthy revenue account,Restauration,business,persona_x_initial_plan,2,209.50290941479426248000,477.55351121808179276000,209.50290941479426248000,66.67
Churned proxy,Restauration,business,persona_x_initial_plan,1,0.00000000000000000000,134.25513326594296120000,134.25513326594296120000,33.33
Healthy revenue account,Restauration,free,persona_x_initial_plan,139,3390.46371245371730079964,11045.81788306447241352226,3390.46371245371730079964,87.97
Recovered / monitor,Restauration,free,persona_x_initial_plan,1,0.16128328767123287000,0.25394520547945206600,0.16128328767123287000,0.63
At-risk,Restauration,free,persona_x_initial_plan,9,0.00000000000000000000,579.85900126948768668780,38.41421215178081295180,5.7
Churned proxy,Restauration,free,persona_x_initial_plan,8,0.00000000000000000000,20.93651496865561112520,17.37402455769670678420,5.06
Never monetized,Restauration,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.63
Healthy revenue account,Restauration,plus,persona_x_initial_plan,70,9227.63424751222954847355,31856.55597430337578974383,9227.63424751222954847355,90.91
Recovered / monitor,Restauration,plus,persona_x_initial_plan,2,39.99393549479452033510,286.70585884178636766520,39.99393549479452033510,2.6
At-risk,Restauration,plus,persona_x_initial_plan,3,0.00000000000000000000,198.75917167452018285600,107.35796549643820221600,3.9
Churned proxy,Restauration,plus,persona_x_initial_plan,2,0.00000000000000000000,628.03391287695334732065,453.46764829479220042065,2.6
Healthy revenue account,Restauration,start,persona_x_initial_plan,216,9551.43047046398672045522,29348.38783827239354816112,9551.43047046398672045522,92.7
Recovered / monitor,Restauration,start,persona_x_initial_plan,1,11.00463097534246575440,79.45176756024762437520,11.00463097534246575440,0.43
At-risk,Restauration,start,persona_x_initial_plan,9,0.00000000000000000000,568.96786932393298155063,73.89526943013698307523,3.86
Churned proxy,Restauration,start,persona_x_initial_plan,6,0.00000000000000000000,292.56651189393126387130,104.63338723190030161240,2.58
Never monetized,Restauration,start,persona_x_initial_plan,1,0.00000000000000000000,,,0.43
Healthy revenue account,Retail,business,persona_x_initial_plan,22,2664.48542244273304098070,8716.21697861028985895057,2664.48542244273304098070,68.75
At-risk,Retail,business,persona_x_initial_plan,7,0.00000000000000000000,1238.73267550136623041720,807.79011794903824935230,21.88
Churned proxy,Retail,business,persona_x_initial_plan,3,0.00000000000000000000,334.36712083599108009000,327.46933398667601209000,9.38
Healthy revenue account,Retail,free,persona_x_initial_plan,889,13116.45908238242690425834,49133.98154257177117128091,13116.45908238242690425834,90.25
Recovered / monitor,Retail,free,persona_x_initial_plan,10,28.43372175342458091265,407.71825607975507627254,28.43372175342458091265,1.02
At-risk,Retail,free,persona_x_initial_plan,54,0.00000000000000000000,1321.93091719906863241298,520.15129369095787498591,5.48
Churned proxy,Retail,free,persona_x_initial_plan,29,0.00000000000000000000,732.79999445378576925066,272.78232126121751770069,2.94
Never monetized,Retail,free,persona_x_initial_plan,3,0.00000000000000000000,,,0.3
Healthy revenue account,Retail,plus,persona_x_initial_plan,241,20990.35730239411514169455,76063.23163610335026103512,20990.35730239411514169455,83.97
Recovered / monitor,Retail,plus,persona_x_initial_plan,4,162.64841379397231835100,678.83095523952989471620,162.64841379397231835100,1.39
At-risk,Retail,plus,persona_x_initial_plan,19,0.00000000000000000000,2500.96112525902020253971,1101.70699475999681599834,6.62
Churned proxy,Retail,plus,persona_x_initial_plan,21,0.00000000000000000000,2241.32754086655945286495,891.07535133458262724264,7.32
Never monetized,Retail,plus,persona_x_initial_plan,2,0.00000000000000000000,,,0.7
Healthy revenue account,Retail,start,persona_x_initial_plan,990,37809.73379050954155752986,144033.03161272814290554153,37809.73379050954155752986,89.84
Recovered / monitor,Retail,start,persona_x_initial_plan,9,111.92031527068483967647,404.15227935751613733847,111.92031527068483967647,0.82
At-risk,Retail,start,persona_x_initial_plan,53,0.00000000000000000000,2731.61473393415127776363,779.99228322465643413566,4.81
Churned proxy,Retail,start,persona_x_initial_plan,45,0.00000000000000000000,1445.77265176015302830212,734.73237165524497708335,4.08
Never monetized,Retail,start,persona_x_initial_plan,5,0.00000000000000000000,,,0.45
Healthy revenue account,Wholesale,business,persona_x_initial_plan,17,2124.72181296602270169800,5867.91652453792240053540,2124.72181296602270169800,89.47
At-risk,Wholesale,business,persona_x_initial_plan,2,0.00000000000000000000,1389.59062210957288415500,199.70412810958888719300,10.53
Healthy revenue account,Wholesale,free,persona_x_initial_plan,120,3940.65259691286960830440,8191.66486158775117523180,3940.65259691286960830440,89.55
Recovered / monitor,Wholesale,free,persona_x_initial_plan,1,5.44271918684930832000,168.35215612164378077000,5.44271918684930832000,0.75
At-risk,Wholesale,free,persona_x_initial_plan,8,0.00000000000000000000,968.28350557559241738816,142.25797304712310041650,5.97
Churned proxy,Wholesale,free,persona_x_initial_plan,4,0.00000000000000000000,174.97193685721077509130,2.27214422356164379130,2.99
Never monetized,Wholesale,free,persona_x_initial_plan,1,0.00000000000000000000,,,0.75
Healthy revenue account,Wholesale,plus,persona_x_initial_plan,85,7272.81010994778592789649,26840.46387524820552581053,7272.81010994778592789649,93.41
At-risk,Wholesale,plus,persona_x_initial_plan,1,0.00000000000000000000,170.26162003451999090000,140.14721295342410780000,1.1
Churned proxy,Wholesale,plus,persona_x_initial_plan,5,0.00000000000000000000,382.04412519982174599883,75.40920872438355993783,5.49
Healthy revenue account,Wholesale,start,persona_x_initial_plan,176,6433.05652846520558532639,27745.29171021665842551808,6433.05652846520558532639,92.15
Recovered / monitor,Wholesale,start,persona_x_initial_plan,1,28.68408034191771321000,107.14742466409594651760,28.68408034191771321000,0.52
At-risk,Wholesale,start,persona_x_initial_plan,8,0.00000000000000000000,208.90045320628730344750,94.52138514301370302500,4.19
Churned proxy,Wholesale,start,persona_x_initial_plan,4,0.00000000000000000000,261.46285998495284101390,64.37715397479442564390,2.09
Never monetized,Wholesale,start,persona_x_initial_plan,2,0.00000000000000000000,,,1.05
